table	column	relevance	reason
reported_events	subjects_affected	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	subjects_at_risk	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	event_count	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_events	organ_system	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	adverse_event_term	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_events	frequency_threshold	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	vocab	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	assessment	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_event_totals	event_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_event_totals	classification	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	subjects_affected	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	subjects_at_risk	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	created_at	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_event_totals	updated_at	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
responsible_parties	id	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	responsible_party_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
responsible_parties	name	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	title	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	organization	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	affiliation	Core	Sponsor, responsible party, investigator, contact, or site information.
responsible_parties	old_name_title	Core	Sponsor, responsible party, investigator, contact, or site information.
result_agreements	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_agreements	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_agreements	pi_employee	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_agreements	agreement	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_agreements	restriction_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
result_agreements	other_details	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_agreements	restrictive_agreement	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	organization	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	name	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	phone	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	email	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_contacts	extension	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_groups	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_groups	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_groups	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
result_groups	result_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
result_groups	title	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_groups	description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
result_groups	outcome_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
retractions	id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
retractions	reference_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
retractions	pmid	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
retractions	source	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
retractions	nct_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_results	id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_results	nct_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_results	name	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_results	created_at	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_results	updated_at	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
search_results	grouping	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
search_results	study_search_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_term_results	id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_term_results	nct_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_term_results	search_term_id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_term_results	created_at	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_term_results	updated_at	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
search_terms	id	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_terms	term	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_terms	group	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
search_terms	created_at	Supporting	Data quality, search, or retraction metadata that may affect cohort construction.
search_terms	updated_at	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
sponsors	id	Core	Sponsor, responsible party, investigator, contact, or site information.
sponsors	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
sponsors	agency_class	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
sponsors	lead_or_collaborator	Core	Sponsor, responsible party, investigator, contact, or site information.
sponsors	name	Core	Sponsor, responsible party, investigator, contact, or site information.
studies	nct_id	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	nlm_download_date_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	study_first_submitted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	results_first_submitted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	disposition_first_submitted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	last_update_submitted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	study_first_submitted_qc_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	study_first_posted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	study_first_posted_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	results_first_submitted_qc_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	results_first_posted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	results_first_posted_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	disposition_first_submitted_qc_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	disposition_first_posted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	disposition_first_posted_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	last_update_submitted_qc_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	last_update_posted_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	last_update_posted_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	start_month_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	start_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	start_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	verification_month_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	verification_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	completion_month_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	completion_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	completion_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	primary_completion_month_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	primary_completion_date_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	primary_completion_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	target_duration	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	study_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	acronym	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	baseline_population	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	brief_title	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	official_title	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	overall_status	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	last_known_status	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	phase	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	enrollment	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	enrollment_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	source	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	limitations_and_caveats	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	number_of_arms	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	number_of_groups	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	why_stopped	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	has_expanded_access	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	expanded_access_type_individual	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	expanded_access_type_intermediate	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	expanded_access_type_treatment	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	has_dmc	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	is_fda_regulated_drug	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	is_fda_regulated_device	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	is_unapproved_device	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	is_ppsd	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	is_us_export	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	biospec_retention	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	biospec_description	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	ipd_time_frame	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	ipd_access_criteria	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	ipd_url	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	plan_to_share_ipd	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	plan_to_share_ipd_description	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	created_at	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	updated_at	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	source_class	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	delayed_posting	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	expanded_access_nctid	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	expanded_access_status_for_nctid	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	fdaaa801_violation	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
studies	baseline_type_units_analyzed	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
studies	patient_registry	Core	Study-level status, timing, design, enrollment, sponsor, or regulatory context.
study_references	id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
study_references	nct_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
study_references	pmid	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
study_references	reference_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
study_references	citation	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
